№,сталь,Ry,сечение,h,b,S,t,R,A_см2,вес_кг,Ix_см4,Wx_см3,Sx_см3,ix_см,Iy_см4,Wy_см3,iy_см
174,С345,340,кв.200х11,200,200,,,,80,62.8,4667,467,,7.64,4667,467,7.64
175,С345,340,кв.200х12,200,200,,,,86.5,67,4980,498,,7.59,4980,498,7.59
176,С345,340,кв.200х13,200,200,,,,92.9,72.9,4685,527,,7.54,4685,527,7.54
177,С345,340,кв.200х14,200,200,,,,99.2,77.9,4408,554,,7.49,4408,554,7.49
178,С345,340,кв.250х8,250,250,,,,75.8,59.5,7315,585,,9.82,7315,585,9.82
179,С345,340,кв.250х9,250,250,,,,84.7,66.5,8092,647,,9.78,8092,647,9.78
180,С345,340,кв.250х10,250,250,,,,93.4,73.3,8840,707,,9.73,8840,707,9.73
181,С345,340,кв.250х11,250,250,,,,102,80.1,9559,765,,9.68,9559,765,9.68
182,С345,340,кв.250х12,250,250,,,,111,86.8,10251,820,,9.63,10251,820,9.63
183,С345,340,кв.250х13,250,250,,,,119,93.4,10917,872,,9.58,10917,872,9.58
184,С345,340,кв.250х14,250,250,,,,127,99.8,11550,924,,9.53,11550,924,9.53
185,С345,340,кв.300х8,300,300,,,,89.9,70.5,12812,846,,11.94,12812,846,11.94
186,С345,340,кв.300х9,300,300,,,,101,79.3,14302,949,,11.9,14302,949,11.9
187,С345,340,кв.300х10,300,300,,,,113,89,15712,1047,,11.79,15712,1047,11.79
188,С345,340,кв.300х11,300,300,,,,124,97.3,17080,1139,,11.74,17080,1139,11.74
189,С345,340,кв.300х12,300,300,,,,135,106,18330,1222,,11.65,18330,1222,11.65
190,С345,340,кв.300х13,300,300,,,,145,113.8,19580,1309,,11.62,19580,1309,11.62
191,С345,340,кв.300х14,300,300,,,,155,122,20784,1386,,11.58,20784,1386,11.58
192,С345,340,пр.60х40х2,60,60,,,,3.8,3,18.8,6.2,,2.23,10,5,1.63
193,С345,340,"пр.60х40х2,5",60,60,,,,4.7,3.6,22.4,7.4,,2.2,11.8,5.9,1.6
194,С345,340,пр.60х40х3,60,60,,,,5.5,4.3,26,8.6,,2.18,13.7,6.8,1.58
195,С345,340,пр.60х40х4,60,60,,,,7.1,5.5,32.2,10.7,,2.13,16.7,8.3,1.54
196,С345,340,пр.60х40х5,60,60,,,,8.6,6.7,37.1,12.3,,2.08,19.1,9.5,1.49
197,С345,340,пр.100х60х3,100,100,,,,9.2,7.2,123.2,24.6,,3.66,55.6,18.5,2.46
