пролет,блок_col,k,с/в,с/в_0,"Высота, м","шаг рам,м",колонна,коэф исп.%,балка,коэф исп.%_6,прогоны,коэф исп.%_8,балки конек,балки карниз,кололнна опора,колонна карниз,Болты в раме,"металлоемкость оциноковка, кг","металлоемкость узловых пластин, кг","общая металлоемкость  рамы, кг","металло-емкость распорк, кг","металлоемкость гориз. связей, распорк, кг"
15м,IR,1.0,4/3,4/3,3.6,4,ПГС245/20х80х2,76,ПГС300/20х80х3,75,"2ТПС 200х45х1,5 (шаг 1,5м)",91,8х2,8х2,7х2,10х2,260,532,233,,,
15м,IR,1.0,5/1,5/1,3.6,4,"ПГС245/20х80х2,5",70,ПГС300/20х80х3,85,"2ТПС 200х45х1,5 (шаг 1,25м)",90,9х2,10х2,7х2,10х2,284,556,258,,,
15м,IR,1.0,5/3,5/3,3.6,4,"ПГС245/20х80х2,5",69,ПГС300/20х80х3,88,"2ТПС 200х45х1,5 (шаг 1,25м)",91,9х2,10х2,8х2,11х2,300,556,268,,,
15м,IR,1.0,2/2,2/2,3.6,6,ПГС245/20х80х2,79,"ПГС300/20х80х2,5",78,"2ТПС 200х65х1,5 (шаг 1,25м)",85,8х2,9х2,7х2,9х2,300,556,268,,,
15м,KB,0.8,1/3,1/3,3.6,6,"ПГС300/20х80х1,5",90,ПГС245/20х80х2,67,"2ТПС 195х45х1,5 (шаг 1,875м)",79,6х2,7х2,7х2,7х2,220,370,194,,,
15м,KB,0.8,2/3,2/3,3.6,6,ПГС245/20х80х2,75,ПГС300/20х80х2,88,"2ТПС 200х45х2 (шаг 1,875м)",86,8х2,9х2,8х2,10х2,292,412,249,,,
15м,KB,0.8,2/4,2/4,3.6,6,ПГС245/20х80х2,86,"ПГС245/20х80х2,5",82,"2ТПС 200х45х2 (шаг 1,875м)",86,8х2,8х2,8х2,9х2,236,439,235,,,
15м,KB,0.8,3/1,3/1,3.6,6,ПГС245/20х80х2,74,"ПГС300/20х80х2,5",81,"2ТПС 200х65х1,5 (шаг 1,25м)",89,9х2,9х2,7х2,10х2,276,471,248,,,
15м,KB,0.8,3/2,3/2,3.6,6,ПГС245/20х80х2,81,"ПГС300/20х80х2,5",82,"2ТПС 200х65х1,5 (шаг 1,25м)",89,9х2,9х2,8х2,10х2,292,471,244,,,
15м,KB,0.8,4/1,4/1,3.6,6,"ПГС245/20х80х2,5",67,ПГС300/20х80х3,85,"2ТПС 200х65х2 (шаг 1,5м)",90,9х2,10х2,7х2,9х2,292,556,248,,,
