пролет,k,"Высота, м",вариант,"шаг рам,м",с/в,колонна,коэф исп.%,балка,коэф исп.%_6,прогоны,коэф исп.%_8,балки конек,балки карниз,кололнна опора,колонна карниз,Болты в раме,"металлоемкость оциноковка, кг","металлоемкость узловых пластин, кг"
9м,0.8,3.6,стандарт,6,4/1,"ПГС245/20х80х1,5",72,ПГС245/20х80х2,71,"2ТПС 200х65х2 (шаг 1,5м)",90,6х2,8х2,6х2,8х2,236,216.44,174
9м,0.8,3.6,стандарт,6,4/3,"ПГС245/20х80х1,5",85,ПГС245/20х80х2,75,"2ТПС 200х65х2 (шаг 1,5м)",91,6х2,8х2,7х2,9х2,252,216.44,192
9м,0.8,3.6,стандарт,6,5/1,"ПГС245/20х80х1,5",85,ПГС245/20х80х2,83,"2ТПС 200х65х2 (шаг 1,125м)",85,7х2,9х2,6х2,10х2,268,216.44,203
9м,0.8,3.6,стандарт,6,5/3,ПГС200/20х65х2,73,"ПГС245/20х80х2,5",71,"2ТПС 200х65х2 (шаг 1,125м)",88,6х2,8х2,5х2,8х2,228,255.76,216
9м,0.8,3.6,стандарт,6,2/2,"ПГС200/20х65х1,5",73,"ПГС200/20х65х1,5",84,"2ТПС 200х65х1,5 (шаг 1,25м)",85,7х2,8х2,6х2,7х2,300,556,268
9м,1.0,4.8,стандарт,6,1/3,"ПГС245/20х80х2,5",67,"ПГС200/20х65х1,5",84,"2ТПС 195х45х1,5 (шаг 1,5м)",82,5х2,6х2,6х2,5х2,188,259.2,144
9м,1.0,4.8,стандарт,6,2/3,ПГС245/20х80х2,64,ПГС245/20х80х2,66,"2ТПС 200х45х1,5 (шаг 1,125м)",92,6х2,8х2,7х2,8х2,244,277.2,174
9м,1.0,4.8,стандарт,6,2/4,"ПГС245/20х80х2,5",72,ПГС245/20х80х2,67,"2ТПС 200х45х1,5 (шаг 1,125м)",92,6х2,8х2,7х2,8х2,244,277.2,186
9м,1.0,4.8,стандарт,6,3/1,ПГС245/20х80х2,80,ПГС245/20х80х2,75,"2ТПС 200х65х2 (шаг 1,5м)",91,6х2,8х2,6х2,7х2,228,277.2,174
9м,1.0,4.8,стандарт,6,3/2,ПГС245/20х80х2,81,ПГС245/20х80х2,76,"2ТПС 200х65х2 (шаг 1,5м)",90,6х2,8х2,6х2,7х2,228,277.2,169
9м,1.0,4.8,стандарт,6,4/1,ПГС245/20х80х2,76,"ПГС245/20х80х2,5",71,"2ТПС 200х65х2 (шаг 1,125м)",85,6х2,8х2,6х2,8х2,236,308.32,174
9м,1.0,4.8,стандарт,6,4/3,"ПГС245/20х80х2,5",74,"ПГС245/20х80х2,5",77,"2ТПС 200х65х2 (шаг 1,125м)",91,7х2,10х2,7х2,7х2,260,340,203
9м,1.0,4.8,стандарт,6,5/1,ПГС245/20х80х2,80,"ПГС245/20х80х2,5",85,"2ТПС 200х65х2 (шаг 0,9м)",82,7х2,9х2,7х2,9х2,268,308.32,203
9м,1.0,4.8,стандарт,6,5/3,"ПГС245/20х80х2,5",78,"ПГС245/20х80х2,5",89,"2ТПС 200х65х2 (шаг 0,9м)",85,7х2,9х2,7х2,8х2,260,340,197
9м,1.0,4.8,стандарт,6,2/2,ПГС245/20х80х2,70,"ПГС300/20х80х1,5",80,"2ТПС 200х65х1,5 (шаг 1,25м)",85,6х2,9х2,7х2,7х2,300,556,268
9м,0.8,4.8,стандарт,6,1/3,ПГС245/20х80х2,74,"ПГС200/20х65х1,5",70,"2ТПС 200х65х1,5 (шаг 2,25м)",66,4х2,5х2,6х2,4х2,164,227.51999999999998,139
9м,0.8,4.8,стандарт,6,2/3,ПГС245/20х80х2,77,"ПГС245/20х80х1,5",78,"2ТПС 200х65х1,5 (шаг 1,5м)",81,5х2,7х2,6х2,5х2,196,244.32,150
9м,0.8,4.8,стандарт,6,2/4,ПГС245/20х80х2,83,"ПГС245/20х80х1,5",81,"2ТПС 200х65х1,5 (шаг 1,5м)",84,5х2,8х2,7х2,6х2,220,244.32,171
9м,0.8,4.8,стандарт,6,3/1,"ПГС245/20х80х1,5",81,ПГС245/20х80х2,62,"2ТПС 200х65х1,5 (шаг 1,125м)",80,5х2,7х2,6х2,7х2,212,243.72,160
9м,0.8,4.8,стандарт,6,3/2,ПГС245/20х80х2,62,ПГС245/20х80х2,62,"2ТПС 200х65х1,5 (шаг 1,125м)",82,5х2,7х2,5х2,6х2,196,277.2,150
9м,0.8,4.8,стандарт,6,4/1,ПГС245/20х80х2,66,ПГС245/20х80х2,74,"2ТПС 200х65х2 (шаг 1,5м)",90,6х2,8х2,5х2,7х2,220,277.2,166
9м,0.8,4.8,стандарт,6,4/3,ПГС245/20х80х2,85,ПГС245/20х80х2,80,"2ТПС 200х65х2 (шаг 1,5м)",91,6х2,8х2,7х2,7х2,236,277.2,182
9м,0.8,4.8,стандарт,6,5/1,ПГС245/20х80х2,66,ПГС245/20х80х2,87,"2ТПС 200х65х2 (шаг 1,125м)",85,7х2,9х2,6х2,8х2,252,277.2,185
9м,0.8,4.8,стандарт,6,5/3,"ПГС245/20х80х2,5",70,ПГС300/20х80х2,81,"2ТПС 200х65х2 (шаг 1,125м)",88,7х2,10х2,6х2,7х2,252,323.32000000000005,179
9м,0.8,4.8,стандарт,6,2/2,"ПГС300/20х80х1,5",77,"ПГС245/20х80х1,5",70,"2ТПС 200х65х1,5 (шаг 1,25м)",85,6х2,8х2,7х2,6х2,300,556,268
9м,1.0,6,стандарт,6,1/3,ПГС245/20х80х3,89,"ПГС200/20х65х2,5",74,"2ТПС 195х45х1,5 (шаг 1,5м)",82,5х2,5х2,7х2,5х2,188,395.56,150
9м,1.0,6,стандарт,6,2/3,ПГС245/20х80х2,87,ПГС245/20х80х3,88,"2ТПС 200х45х1,5 (шаг 1,125м)",92,5х2,7х2,6х2,7х2,212,383.8,160
9м,1.0,6,стандарт,6,2/4,"ПГС245/20х80х2,5",85,ПГС245/20х80х2,76,"2ТПС 200х45х1,5 (шаг 1,125м)",92,6х2,8х2,8х2,6х2,236,352.6,180
9м,1.0,6,стандарт,6,3/1,"ПГС245/20х80х2,5",71,ПГС245/20х80х2,86,"2ТПС 200х65х2 (шаг 1,5м)",91,6х2,8х2,6х2,6х2,220,352.6,164
9м,1.0,6,стандарт,6,3/2,"ПГС245/20х80х2,5",78,"ПГС245/20х80х2,5",70,"2ТПС 200х65х2 (шаг 1,5м)",90,6х2,9х2,7х2,7х2,244,383.72,186
9м,1.0,6,стандарт,6,4/1,"ПГС245/20х80х2,5",76,"ПГС245/20х80х2,5",78,"2ТПС 200х65х2 (шаг 1,125м)",85,6х2,8х2,7х2,7х2,236,383.72,181
9м,1.0,6,стандарт,6,4/3,"ПГС300/20х80х2,5",90,ПГС245/20х80х3,79,"2ТПС 200х65х2 (шаг 1,125м)",91,6х2,8х2,9х2,8х2,260,477.15999999999997,194
9м,1.0,6,стандарт,6,5/1,"ПГС245/20х80х2,5",73,"ПГС245/20х80х2,5",88,"2ТПС 200х65х2 (шаг 0,9м)",82,7х2,9х2,7х2,9х2,268,383.72,203
9м,1.0,6,стандарт,6,5/3,ПГС300/20х80х3,85,"ПГС300/20х80х2,5",90,"2ТПС 200х65х2 (шаг 0,9м)",85,7х2,10х2,8х2,8х2,276,473.44,207
9м,1.0,6,стандарт,6,2/2,"ПГС245/20х80х2,5",75,ПГС245/20х80х2,75,"2ТПС 200х65х1,5 (шаг 1,25м)",85,5х2,8х2,7х2,7х2,300,556,268
9м,0.8,6,стандарт,6,1/3,"ПГС245/20х80х2,5",85,ПГС200/20х65х2,72,"2ТПС 200х65х1,5 (шаг 2,25м)",66,4х2,5х2,7х2,4х2,172,329.52000000000004,151
9м,0.8,6,стандарт,6,2/3,"ПГС245/20х80х2,5",84,ПГС245/20х80х2,70,"2ТПС 200х65х1,5 (шаг 1,5м)",81,4х2,7х2,7х2,5х2,196,352.6,158
9м,0.8,6,стандарт,6,2/4,"ПГС245/20х80х2,5",89,ПГС245/20х80х2,75,"2ТПС 200х65х1,5 (шаг 1,5м)",84,4х2,7х2,7х2,5х2,196,352.6,158
9м,0.8,6,стандарт,6,3/1,ПГС245/20х80х2,83,ПГС245/20х80х2,69,"2ТПС 200х65х1,5 (шаг 1,125м)",80,5х2,7х2,6х2,7х2,212,304.28,160
9м,0.8,6,стандарт,6,3/2,"ПГС245/20х80х2,5",64,ПГС245/20х80х2,72,"2ТПС 200х65х1,5 (шаг 1,125м)",82,5х2,8х2,6х2,6х2,212,352.6,176
9м,0.8,6,стандарт,6,4/1,ПГС245/20х80х2,86,ПГС245/20х80х2,81,"2ТПС 200х65х2 (шаг 1,5м)",90,6х2,8х2,7х2,7х2,236,304.28,182
9м,0.8,6,стандарт,6,4/3,"ПГС245/20х80х2,5",88,"ПГС245/20х80х2,5",74,"2ТПС 200х65х2 (шаг 1,5м)",91,5х2,8х2,7х2,7х2,228,383.72,178
9м,0.8,6,стандарт,6,5/1,ПГС245/20х80х2,82,"ПГС245/20х80х2,5",72,"2ТПС 200х65х2 (шаг 1,125м)",85,6х2,8х2,6х2,8х2,236,335.4,186
9м,0.8,6,стандарт,6,5/3,"ПГС300/20х80х2,5",83,"ПГС245/20х80х2,5",71,"2ТПС 200х65х2 (шаг 1,125м)",88,6х2,9х2,8х2,8х2,260,445.88,196
9м,0.8,6,стандарт,6,2/2,ПГС245/20х80х2,74,"ПГС300/20х80х1,5",76,"2ТПС 200х65х1,5 (шаг 1,25м)",85,5х2,7х2,7х2,7х2,300,556,268
12м,1.0,3.6,стандарт,6,1/3,"ПГС300/20х80х1,5",71,"ПГС300/20х80х1,5",89,"2ТПС 200х65х1,5 (шаг 2,0м)",83,6х2,7х2,7х2,7х2,228,216,194
12м,1.0,3.6,стандарт,6,2/3,"ПГС300/20х80х1,5",85,ПГС300/20х80х2,85,"2ТПС 200х45х2 (шаг 1,5м)",86,8х2,9х2,8х2,9х2,284,279,239
12м,1.0,3.6,стандарт,6,2/4,ПГС245/20х80х2,72,ПГС300/20х80х2,88,"2ТПС 200х45х2 (шаг 1,5м)",86,7х2,9х2,7х2,8х2,260,296,227
12м,1.0,3.6,стандарт,6,3/1,"ПГС300/20х80х1,5",88,"ПГС300/20х80х2,5",83,"2ТПС 200х65х2 (шаг 1,2м)",73,7х2,9х2,7х2,11х2,284,327,247
12м,1.0,3.6,стандарт,6,3/2,ПГС245/20х80х2,65,"ПГС300/20х80х2,5",85,"2ТПС 200х65х2 (шаг 1,2м)",73,7х2,9х2,6х2,9х2,260,344,233
12м,1.0,3.6,стандарт,6,4/1,ПГС300/20х80х2,84,ПГС300/20х80х3,82,"2ТПС 200х65х2 (шаг 1,0м)",77,7х2,9х2,7х2,9х2,268,403,227
12м,1.0,3.6,стандарт,6,4/3,ПГС300/20х80х2,85,ПГС300/20х80х3,80,"2ТПС 200х65х2 (шаг 1,0м)",77,7х2,10х2,7х2,11х2,292,403,261
12м,1.0,3.6,стандарт,5,5/1,ПГС245/20х80х2,75,ПГС300/20х80х3,87,"2ТПС 200х65х2 (шаг 1,2м)",78,7х2,9х2,6х2,10х2,268,392,233
12м,1.0,3.6,стандарт,5,5/3,"ПГС245/20х80х2,5",71,ПГС300/20х80х3,80,"2ТПС 200х65х2 (шаг 1,2м)",78,8х2,10х2,7х2,10х2,292,415,253
12м,1.0,3.6,стандарт,6,2/2,"ПГС300/20х80х1,5",85,ПГС300/20х80х2,84,"2ТПС 200х65х1,5 (шаг 1,25м)",85,7х2,9х2,6х2,8х2,300,556,268
12м,0.8,3.6,стандарт,6,1/3,"ПГС245/20х80х1,5",68,"ПГС245/20х80х1,5",81,"2ТПС 200х45х1,5 (шаг 2,0м)",80,7х2,7х2,6х2,6х2,220,208,191
12м,0.8,3.6,стандарт,6,2/3,"ПГС300/20х80х1,5",69,ПГС245/20х80х2,76,"2ТПС 200х65х1,5 (шаг 1,5м)",78,6х2,7х2,7х2,6х2,220,260,192
12м,0.8,3.6,стандарт,6,2/4,"ПГС300/20х80х1,5",75,ПГС245/20х80х2,80,"2ТПС 200х65х1,5 (шаг 1,5м)",78,6х2,7х2,7х2,8х2,236,260,204
12м,0.8,3.6,стандарт,6,3/1,"ПГС300/20х80х1,5",73,ПГС300/20х80х2,89,"2ТПС 200х65х2 (шаг 1,5м)",89,7х2,9х2,6х2,9х2,260,279,217
12м,0.8,3.6,стандарт,6,3/2,"ПГС300/20х80х1,5",75,ПГС245/20х80х2,80,"2ТПС 200х65х2 (шаг 1,5м)",89,7х2,9х2,7х2,9х2,268,260,227
12м,0.8,3.6,стандарт,6,4/1,"ПГС300/20х80х1,5",87,"ПГС300/20х80х2,5",84,"2ТПС 200х65х2 (шаг 1,2м)",74,7х2,9х2,7х2,11х2,284,327,247
12м,0.8,3.6,стандарт,6,4/3,"ПГС300/20х80х1,5",88,"ПГС300/20х80х2,5",86,"2ТПС 200х65х2 (шаг 1,2м)",74,7х2,9х2,8х2,11х2,292,327,253
12м,0.8,3.6,стандарт,6,5/1,ПГС245/20х80х2,72,ПГС300/20х80х3,83,"2ТПС 200х65х2 (шаг 1,5м)",78,7х2,8х2,6х2,10х2,260,392,221
12м,0.8,3.6,стандарт,5,5/3,ПГС300/20х80х2,64,ПГС300/20х80х3,86,"2ТПС 200х65х2 (шаг 1,5м)",78,7х2,9х2,7х2,10х2,276,440,237
12м,0.8,3.6,стандарт,6,2/2,"ПГС300/20х80х1,5",72,ПГС245/20х80х2,73,"2ТПС 200х65х1,5 (шаг 1,25м)",85,7х2,8х2,6х2,7х2,300,556,268
12м,1.0,4.8,стандарт,6,1/3,ПГС300/20х80х2,75,ПГС245/20х80х2,75,"2ТПС 200х65х1,5 (шаг 2,0м)",83,5х2,6х2,7х2,6х2,204,325,187
12м,1.0,4.8,стандарт,6,2/3,ПГС300/20х80х2,84,"ПГС245/20х80х2,5",79,"2ТПС 200х45х2 (шаг 1,5м)",86,6х2,7х2,8х2,8х2,244,366,210
12м,1.0,4.8,стандарт,6,2/4,"ПГС245/20х80х2,5",78,"ПГС300/20х80х2,5",85,"2ТПС 200х45х2 (шаг 1,5м)",86,6х2,8х2,7х2,7х2,236,409,204
12м,1.0,4.8,стандарт,6,3/1,ПГС300/20х80х2,70,"ПГС300/20х80х2,5",80,"2ТПС 200х65х2 (шаг 1,2м)",73,7х2,8х2,7х2,9х2,260,392,227
12м,1.0,4.8,стандарт,6,3/2,ПГС245/20х80х2,74,"ПГС300/20х80х2,5",82,"2ТПС 200х65х2 (шаг 1,2м)",73,8х2,9х2,7х2,9х2,276,378,233
12м,1.0,4.8,стандарт,6,4/1,"ПГС245/20х80х2,5",65,ПГС300/20х80х3,82,"2ТПС 200х65х2 (шаг 1,0м)",77,8х2,9х2,6х2,9х2,268,457,223
12м,1.0,4.8,стандарт,6,4/3,"ПГС245/20х80х2,5",87,ПГС300/20х80х3,85,"2ТПС 200х65х2 (шаг 1,0м)",77,8х2,10х2,8х2,10х2,300,457,259
12м,1.0,4.8,стандарт,5,5/1,ПГС300/20х80х2,89,ПГС300/20х80х3,79,"2ТПС 200х65х2 (шаг 1,2м)",78,8х2,10х2,6х2,11х2,292,440,247
12м,1.0,4.8,стандарт,5,5/3,"ПГС245/20х80х2,5",80,ПГС300/20х80х3,88,"2ТПС 200х65х2 (шаг 1,2м)",78,8х2,9х2,7х2,9х2,276,457,233
12м,1.0,4.8,стандарт,6,2/2,ПГС300/20х80х2,80,"ПГС245/20х80х2,5",77,"2ТПС 200х65х1,5 (шаг 1,25м)",85,7х2,8х2,8х2,8х2,300,556,268
12м,0.8,4.8,стандарт,6,1/3,ПГС245/20х80х2,69,"ПГС300/20х80х1,5",78,"2ТПС 200х45х1,5 (шаг 2,0м)",80,6х2,7х2,6х2,6х2,212,282,182
12м,0.8,4.8,стандарт,6,2/3,ПГС300/20х80х2,67,ПГС245/20х80х2,80,"2ТПС 200х65х1,5 (шаг 1,5м)",78,6х2,7х2,7х2,7х2,228,325,194
12м,0.8,4.8,стандарт,6,2/4,ПГС300/20х80х2,75,ПГС245/20х80х2,85,"2ТПС 200х65х1,5 (шаг 1,5м)",78,6х2,8х2,9х2,7х2,252,325,216
12м,0.8,4.8,стандарт,6,3/1,ПГС245/20х80х2,69,"ПГС245/20х80х2,5",73,"2ТПС 200х65х2 (шаг 1,5м)",89,7х2,8х2,8х2,10х2,276,352,237
12м,0.8,4.8,стандарт,6,3/2,ПГС300/20х80х2,75,ПГС245/20х80х2,85,"2ТПС 200х65х2 (шаг 1,5м)",89,8х2,9х2,6х2,8х2,260,325,223
12м,0.8,4.8,стандарт,6,4/1,ПГС300/20х80х2,71,"ПГС300/20х80х2,5",79,"2ТПС 200х65х2 (шаг 1,2м)",74,8х2,9х2,7х2,9х2,276,392,233
12м,0.8,4.8,стандарт,6,4/3,ПГС300/20х80х2,72,"ПГС300/20х80х2,5",85,"2ТПС 200х65х2 (шаг 1,2м)",74,8х2,9х2,7х2,9х2,276,392,233
12м,0.8,4.8,стандарт,6,5/1,ПГС300/20х80х2,84,ПГС300/20х80х3,79,"2ТПС 200х65х2 (шаг 1,5м)",78,7х2,9х2,7х2,11х2,284,440,247
12м,0.8,4.8,стандарт,5,5/3,"ПГС300/20х80х2,5",69,ПГС300/20х80х3,80,"2ТПС 200х65х2 (шаг 1,5м)",78,7х2,9х2,7х2,10х2,276,457,237
12м,0.8,4.8,стандарт,6,2/2,ПГС245/20х80х2,74,ПГС245/20х80х2,81,"2ТПС 200х65х1,5 (шаг 1,25м)",85,7х2,8х2,7х2,7х2,300,556,268
12м,1.0,6,стандарт,6,1/3,ПГС245/20х80х3,78,"ПГС245/20х80х2,5",70,"2ТПС 200х65х1,5 (шаг 2,0м)",83,6х2,5х2,7х2,5х2,196,465,176
12м,1.0,6,стандарт,6,2/3,ПГС245/20х80х3,84,"ПГС245/20х80х2,5",89,"2ТПС 200х45х2 (шаг 1,5м)",86,6х2,8х2,7х2,6х2,228,465,198
12м,1.0,6,стандарт,6,2/4,"ПГС300/20х80х2,5",85,"ПГС300/20х80х2,5",80,"2ТПС 200х45х2 (шаг 1,5м)",86,6х2,8х2,9х2,7х2,252,475,216
12м,1.0,6,стандарт,6,3/1,"ПГС245/20х80х2,5",72,"ПГС300/20х80х2,5",86,"2ТПС 200х65х2 (шаг 1,2м)",73,7х2,9х2,7х2,8х2,260,451,227
12м,1.0,6,стандарт,6,3/2,"ПГС245/20х80х2,5",84,"ПГС300/20х80х2,5",89,"2ТПС 200х65х2 (шаг 1,2м)",73,7х2,9х2,8х2,8х2,268,451,233
12м,1.0,6,стандарт,6,4/1,"ПГС300/20х80х2,5",65,ПГС300/20х80х3,89,"2ТПС 200х65х2 (шаг 1,0м)",77,7х2,9х2,7х2,9х2,268,523,227
12м,1.0,6,стандарт,5,4/3,"ПГС300/20х80х2,5",87,ПГС300/20х80х3,79,"2ТПС 200х65х2 (шаг 1,5м)",64,7х2,9х2,8х2,9х2,276,523,233
12м,1.0,6,стандарт,5,5/1,"ПГС300/20х80х2,5",68,ПГС300/20х80х3,87,"2ТПС 200х65х2 (шаг 1,2м)",78,8х2,9х2,7х2,9х2,276,523,233
12м,1.0,6,стандарт,5,5/3,ПГС300/20х80х3,70,ПГС300/20х80х3,89,"2ТПС 200х65х2 (шаг 1,2м)",78,8х2,10х2,7х2,9х2,284,570,249
12м,1.0,6,стандарт,6,2/2,"ПГС245/20х80х2,5",87,"ПГС300/20х80х2,5",74,"2ТПС 200х65х1,5 (шаг 1,25м)",85,6х2,8х2,8х2,8х2,300,556,268
12м,0.8,6,стандарт,6,1/3,"ПГС245/20х80х2,5",72,ПГС245/20х80х2,73,"2ТПС 200х45х1,5 (шаг 2,0м)",80,5х2,6х2,6х2,6х2,196,384,177
12м,0.8,6,стандарт,6,2/3,ПГС245/20х80х3,68,ПГС300/20х80х2,77,"2ТПС 200х65х1,5 (шаг 1,5м)",78,6х2,8х2,6х2,5х2,212,443,184
12м,0.8,6,стандарт,6,2/4,ПГС245/20х80х3,76,ПГС300/20х80х2,81,"2ТПС 200х65х1,5 (шаг 1,5м)",78,6х2,8х2,7х2,6х2,228,443,194
12м,0.8,6,стандарт,6,3/1,ПГС300/20х80х2,72,"ПГС245/20х80х2,5",78,"2ТПС 200х65х2 (шаг 1,5м)",89,7х2,8х2,7х2,10х2,268,404,231
12м,0.8,6,стандарт,6,3/2,ПГС245/20х80х3,76,ПГС245/20х80х2,81,"2ТПС 200х65х2 (шаг 1,5м)",89,8х2,9х2,6х2,6х2,244,424,213
12м,0.8,6,стандарт,6,4/1,ПГС300/20х80х2,85,"ПГС300/20х80х2,5",76,"2ТПС 200х65х2 (шаг 1,2м)",74,7х2,9х2,7х2,9х2,268,430,227
12м,0.8,6,стандарт,6,4/3,"ПГС245/20х80х2,5",85,ПГС300/20х80х3,78,"2ТПС 200х65х2 (шаг 1,2м)",74,6х2,8х2,8х2,9х2,260,499,224
12м,0.8,6,стандарт,6,5/1,"ПГС245/20х80х2,5",68,ПГС300/20х80х3,87,"2ТПС 200х65х2 (шаг 1,5м)",78,7х2,9х2,6х2,9х2,260,499,217
12м,0.8,6,стандарт,5,5/3,ПГС300/20х80х3,68,ПГС300/20х80х3,89,"2ТПС 200х65х2 (шаг 1,5м)",78,7х2,9х2,7х2,8х2,260,570,213
12м,0.8,6,стандарт,6,2/2,ПГС300/20х80х2,84,ПГС300/20х80х2,78,"2ТПС 200х65х1,5 (шаг 1,25м)",85,6х2,8х2,8х2,7х2,300,556,268
15м,1.0,3.6,стандарт,6,1/3,ПГС245/20х80х2,86,ПГС245/20х80х2,86,"2ТПС 195х45х1,5 (шаг 1,5м)",79,7х2,7х2,8х2,7х2,228,387,209
15м,1.0,3.6,стандарт,6,2/3,ПГС245/20х80х2,89,"ПГС300/20х80х2,5",82,"2ТПС 200х65х1,5 (шаг 1,25м)",82,8х2,9х2,8х2,10х2,268,471,249
15м,1.0,3.6,стандарт,6,2/4,"ПГС245/20х80х2,5",73,"ПГС300/20х80х2,5",83,"2ТПС 200х65х1,5 (шаг 1,25м)",92,8х2,9х2,8х2,9х2,276,495,225
15м,1.0,3.6,стандарт,6,3/1,ПГС300/20х80х2,88,ПГС300/20х80х3,82,"2ТПС 200х65х2 (шаг 1,5м)",91,9х2,10х2,9х2,12х2,308,543,280
15м,1.0,3.6,стандарт,6,3/2,"ПГС245/20х80х2,5",68,ПГС300/20х80х3,87,"2ТПС 200х65х2 (шаг 1,5м)",91,9х2,10х2,8х2,10х2,308,556,264
15м,1.0,3.6,стандарт,4,4/1,ПГС300/20х80х2,75,"ПГС300/20х80х2,5",86,"2ТПС 200х45х1,5 (шаг 1,5м)",91,9х2,10х2,7х2,10х2,260,482,258
15м,1.0,3.6,стандарт,4,4/3,ПГС245/20х80х2,76,ПГС300/20х80х3,75,"2ТПС 200х45х1,5 (шаг 1,5м)",91,8х2,8х2,7х2,10х2,260,532,233
15м,1.0,3.6,стандарт,4,5/1,"ПГС245/20х80х2,5",70,ПГС300/20х80х3,85,"2ТПС 200х45х1,5 (шаг 1,25м)",90,9х2,10х2,7х2,10х2,284,556,258
15м,1.0,3.6,стандарт,4,5/3,"ПГС245/20х80х2,5",69,ПГС300/20х80х3,88,"2ТПС 200х45х1,5 (шаг 1,25м)",91,9х2,10х2,8х2,11х2,300,556,268
15м,1.0,3.6,стандарт,6,2/2,ПГС245/20х80х2,79,"ПГС300/20х80х2,5",78,"2ТПС 200х65х1,5 (шаг 1,25м)",85,8х2,9х2,7х2,9х2,300,556,268
15м,0.8,3.6,стандарт,6,1/3,"ПГС300/20х80х1,5",90,ПГС245/20х80х2,67,"2ТПС 195х45х1,5 (шаг 1,875м)",79,6х2,7х2,7х2,7х2,220,370,194
15м,0.8,3.6,стандарт,6,2/3,ПГС245/20х80х2,75,ПГС300/20х80х2,88,"2ТПС 200х45х2 (шаг 1,875м)",86,8х2,9х2,8х2,10х2,292,412,249
15м,0.8,3.6,стандарт,6,2/4,ПГС245/20х80х2,86,"ПГС245/20х80х2,5",82,"2ТПС 200х45х2 (шаг 1,875м)",86,8х2,8х2,8х2,9х2,236,439,235
15м,0.8,3.6,стандарт,6,3/1,ПГС245/20х80х2,74,"ПГС300/20х80х2,5",81,"2ТПС 200х65х1,5 (шаг 1,25м)",89,9х2,9х2,7х2,10х2,276,471,248
